NCT_ID,Brief_Title,Study_Type,Overall_Status,Phases,Enrollment,Enrollment_Type,Lead_Sponsor,Sponsor_Class,Start_Date,Completion_Date,Interventions,Australia_All_Registered_Locations,New_Zealand_All_Registered_Locations,Registered_Location_Group,Australia_Open_Sites,New_Zealand_Open_Sites,Open_Trial_Group,Data_Retrieved_Date
NCT05969041,Study of MT-302 in Adults With Advanced or Metastatic Epithelial Tumors,INTERVENTIONAL,RECRUITING,PHASE1,48.0,ESTIMATED,Myeloid Therapeutics,INDUSTRY,2023-08-02,2028-08-31,MT-302 (A),6,0,Australia only,6,0,Australia only,2026-09-06
NCT07222267,An Investigational Study of BG-75202 Alone and in Combination With Other Therapeutic Agents in Adults With Advanced Solid Tumors,INTERVENTIONAL,RECRUITING,PHASE1,86.0,ESTIMATED,BeOne Medicines,INDUSTRY,2025-12-11,2037-01-13,BG-75202; CDK4 Inhibitor; Estrogen Receptor Antagonist; Aromatase Inhibitor,5,1,Both countries,5,1,Both countries,2026-09-06
NCT05086692,A Beta-only IL-2 ImmunoTherapY Study,INTERVENTIONAL,RECRUITING,"PHASE1, PHASE2",115.0,ESTIMATED,"Medicenna Therapeutics, Inc.",INDUSTRY,2021-08-27,2026-12-30,MDNA11; Pembrolizumab (KEYTRUDA®),4,0,Australia only,4,0,Australia only,2026-09-06
NCT05417594,Study of AZD9574 as Monotherapy and in Combination With Anti-cancer Agents in Participants With Advanced Solid Malignancies,INTERVENTIONAL,RECRUITING,"PHASE1, PHASE2",695.0,ESTIMATED,AstraZeneca,INDUSTRY,2022-06-24,2028-02-07,AZD9574; Temozolomide (TMZ); [11C]AZ1419 3391; Trastuzumab Deruxtecan (T-DXd); Datopotamab Deruxtecan (Dato-DXd),3,0,Australia only,3,0,Australia only,2026-09-06
NCT07661641,A Study of [177Lu]Lu-A9-0631 and [225Ac]Ac-A9-0642 With [68Ga]Ga-A9-6217 or [177Lu]Lu-A9-0631 Imaging in GRPR+ Solid Tumors,INTERVENTIONAL,RECRUITING,PHASE1,115.0,ESTIMATED,Alpha-9 Oncology USA Inc.,INDUSTRY,2026-07-01,2029-12,[68Ga]Ga-A9-6217; Low dose [177Lu]Lu-A9-0631; [177Lu]Lu-A9-0631; [225Ac]Ac-A9-0642,2,0,Australia only,2,0,Australia only,2026-09-06
NCT05417516,A Randomized Trial of Five Fraction Partial Breast Irradiation (RAPID2),INTERVENTIONAL,RECRUITING,PHASE3,910.0,ESTIMATED,Ontario Clinical Oncology Group (OCOG),OTHER,2023-11-20,2031-11,Whole Breast Irradiation (WBI); Partial Breast Irradiation (PBI),12,0,Australia only,12,0,Australia only,2026-09-06
NCT04585750,The Evaluation of PC14586 in Patients With Advanced Solid Tumors Harboring a TP53 Y220C Mutation (PYNNACLE),INTERVENTIONAL,RECRUITING,"PHASE1, PHASE2",300.0,ESTIMATED,"PMV Pharmaceuticals, Inc",INDUSTRY,2020-10-29,2027-12-31,rezatapopt; pembrolizumab,5,0,Australia only,5,0,Australia only,2026-09-06
NCT07085767,Palazestrant in Combination With Ribociclib for the First-line Treatment of ER+/HER2- Advanced Breast Cancer,INTERVENTIONAL,RECRUITING,PHASE3,1000.0,ESTIMATED,"Olema Pharmaceuticals, Inc.",INDUSTRY,2025-11-03,2032-01,Palazestrant; Letrozole-matching placebo; Ribociclib; Letrozole; Palazestrant matching-placebo,8,0,Australia only,8,0,Australia only,2026-09-06
NCT05503797,A Study to Assess the Efficacy and Safety of FORE8394 in Participants With Cancer Harboring BRAF Alterations,INTERVENTIONAL,RECRUITING,PHASE2,254.0,ESTIMATED,Fore Biotherapeutics,INDUSTRY,2023-02-21,2028-12-28,Plixorafenib,5,0,Australia only,5,0,Australia only,2026-09-06
NCT06393374,Sacituzumab Tirumotecan (MK-2870) Plus Pembrolizumab Versus TPC in TNBC Who Did Not Achieve pCR (MK-2870-012),INTERVENTIONAL,RECRUITING,PHASE3,1530.0,ESTIMATED,Merck Sharp & Dohme LLC,INDUSTRY,2024-06-24,2037-12-14,Pembrolizumab; Sacituzumab tirumotecan; Capecitabine,4,0,Australia only,4,0,Australia only,2026-09-06
NCT06926868,"A Study of Izalontamab Brengitecan Versus Chemotherapy in Participants With Previously Untreated, Locally Advanced, Recurrent Inoperable, or Metastatic Triple-negative Breast Cancer Ineligible for Anti-PD(L)1 Drugs (IZABRIGHT-Breast01)",INTERVENTIONAL,RECRUITING,"PHASE2, PHASE3",600.0,ESTIMATED,Bristol-Myers Squibb,INDUSTRY,2025-09-11,2030-05-15,Iza-bren; Nab-paclitaxel; Paclitaxel; Capecitabine; Carboplatin; Gemcitabine,6,0,Australia only,6,0,Australia only,2026-09-06
NCT07339176,Intratumoral N17350 in Advanced Solid Tumors,INTERVENTIONAL,RECRUITING,"PHASE1, PHASE2",275.0,ESTIMATED,Onchilles Pharma Inc,INDUSTRY,2026-05-25,2029-11,N17350,3,0,Australia only,3,0,Australia only,2026-09-06
