NCT_ID,Brief_Title,Overall_Status,Facility,Site_Status,City,State,Country,Data_Retrieved_Date
NCT05969041,Study of MT-302 in Adults With Advanced or Metastatic Epithelial Tumors,RECRUITING,St Vincent's Public Hospital Sydney,RECRUITING,Darlinghurst,New South Wales,Australia,2026-09-06
NCT05969041,Study of MT-302 in Adults With Advanced or Metastatic Epithelial Tumors,RECRUITING,Scientia Clinical Research Ltd,RECRUITING,Randwick,New South Wales,Australia,2026-09-06
NCT05969041,Study of MT-302 in Adults With Advanced or Metastatic Epithelial Tumors,RECRUITING,Westmead Hospital,RECRUITING,Westmead,New South Wales,Australia,2026-09-06
NCT05969041,Study of MT-302 in Adults With Advanced or Metastatic Epithelial Tumors,RECRUITING,Souther Oncology Clinical Research Unit (SOCRU),RECRUITING,Bedford Park,South Australia,Australia,2026-09-06
NCT05969041,Study of MT-302 in Adults With Advanced or Metastatic Epithelial Tumors,RECRUITING,Cabrini Health,RECRUITING,Malvern,Victoria,Australia,2026-09-06
NCT05969041,Study of MT-302 in Adults With Advanced or Metastatic Epithelial Tumors,RECRUITING,Linear Clinical Research Ltd,RECRUITING,Nedlands,Western Australia,Australia,2026-09-06
NCT07222267,An Investigational Study of BG-75202 Alone and in Combination With Other Therapeutic Agents in Adults With Advanced Solid Tumors,RECRUITING,Blacktown Cancer and Haematology Centre,RECRUITING,Blacktown,New South Wales,Australia,2026-09-06
NCT07222267,An Investigational Study of BG-75202 Alone and in Combination With Other Therapeutic Agents in Adults With Advanced Solid Tumors,RECRUITING,Chris Obrien Lifehouse,RECRUITING,Camperdown,New South Wales,Australia,2026-09-06
NCT07222267,An Investigational Study of BG-75202 Alone and in Combination With Other Therapeutic Agents in Adults With Advanced Solid Tumors,RECRUITING,Cancer Research South Australia,RECRUITING,Adelaide,South Australia,Australia,2026-09-06
NCT07222267,An Investigational Study of BG-75202 Alone and in Combination With Other Therapeutic Agents in Adults With Advanced Solid Tumors,RECRUITING,Austin Health,RECRUITING,Heidelberg,Victoria,Australia,2026-09-06
NCT07222267,An Investigational Study of BG-75202 Alone and in Combination With Other Therapeutic Agents in Adults With Advanced Solid Tumors,RECRUITING,Peter Maccallum Cancer Centre,RECRUITING,Melbourne,Victoria,Australia,2026-09-06
NCT07222267,An Investigational Study of BG-75202 Alone and in Combination With Other Therapeutic Agents in Adults With Advanced Solid Tumors,RECRUITING,Auckland City Hospital,NOT_YET_RECRUITING,Auckland,Grafton,New Zealand,2026-09-06
NCT05086692,A Beta-only IL-2 ImmunoTherapY Study,RECRUITING,Scientia Clinical Research,RECRUITING,Randwick,New South Wales,Australia,2026-09-06
NCT05086692,A Beta-only IL-2 ImmunoTherapY Study,RECRUITING,Macquarie University,RECRUITING,Sydney,New South Wales,Australia,2026-09-06
NCT05086692,A Beta-only IL-2 ImmunoTherapY Study,RECRUITING,University of the Sunshine Coast,RECRUITING,Buderim,Queensland,Australia,2026-09-06
NCT05086692,A Beta-only IL-2 ImmunoTherapY Study,RECRUITING,Gallipoli Medical Research Foundation,RECRUITING,Greenslopes,Queensland,Australia,2026-09-06
